family,tip_label,image_dir,tree_species,fishbase_query,fishbase_resolved,note
halichoerine,Halichoeres_solorensisF334,Halichoeres_solorensis,Halichoeres_solorensis,Halichoeres solorensis,,
halichoerine,Halichoeres_argusF54,Halichoeres_argus,Halichoeres_argus,Halichoeres argus,,
halichoerine,Halichoeres_papillionaceousF148,Halichoeres_papilionaceus,Halichoeres_papilionaceus,Halichoeres papilionaceus,,CF-prefix tip aliased to named species
halichoerine,Halichoeres_marginatusF171,Halichoeres_marginatus,Halichoeres_marginatus,Halichoeres marginatus,,
halichoerine,Halichoeres_chrysotaeniaF333,Halichoeres_chrysotaenia,Halichoeres_chrysotaenia,Halichoeres chrysotaenia,,
halichoerine,Halichoeres_melanurusF270,Halichoeres_melanurus,Halichoeres_melanurus,Halichoeres melanurus,,
halichoerine,Halichoeres_chlorocephalusF444M2608,Halichoeres_chlorocephalus,Halichoeres_chlorocephalus,Halichoeres chlorocephalus,,
halichoerine,Halichoeres_rubricephalusF447M2602,Halichoeres_rubricephalus,Halichoeres_rubricephalus,Halichoeres rubricephalus,,
halichoerine,Halichoeres_richmondiF239,Halichoeres_richmondi,Halichoeres_richmondi,Halichoeres richmondi,,
halichoerine,Halichoeres_bicolorF187,Halichoeres_bicolor,Halichoeres_bicolor,Halichoeres bicolor,,
halichoerine,Halichoeres_dussumeriF62,Halichoeres_dussumieri,Halichoeres_dussumieri,Halichoeres dussumieri,,CF-prefix tip aliased to named species
halichoerine,Halichoeres_nigrescensF75,Halichoeres_nigrescens,Halichoeres_nigrescens,Halichoeres nigrescens,,
halichoerine,Halichoeres_javanicusF237,Halichoeres_dussumieri,Halichoeres_dussumieri,Halichoeres dussumieri,,CF-prefix tip aliased to named species
halichoerine,Halichoeres_leucurusF312,Halichoeres_leucurus,Halichoeres_leucurus,Halichoeres leucurus,,
halichoerine,Halichoeres_purpurescensF314,Halichoeres_purpurescens,Halichoeres_purpurescens,Halichoeres purpurescens,,
halichoerine,Halichoeres_brownfieldiF160,Halichoeres_brownfieldi,Halichoeres_brownfieldi,Halichoeres brownfieldi,,
halichoerine,Coris_batuensisF246,Coris_batuensis,Coris_batuensis,Coris batuensis,,
halichoerine,Coris_variegataF430,Coris_variegata,Coris_variegata,Coris variegata,,
halichoerine,Halichoeres_chloropterusF311,Halichoeres_chloropterus,Halichoeres_chloropterus,Halichoeres chloropterus,,
halichoerine,Halichoeres_podostigmaF313,Halichoeres_podostigma,Halichoeres_podostigma,Halichoeres podostigma,,
halichoerine,Halichoeres_margaritaceusF70,Halichoeres_margaritaceus,Halichoeres_margaritaceus,Halichoeres margaritaceus,,
halichoerine,Halichoeres_nebulosusF73,Halichoeres_nebulosus,Halichoeres_nebulosus,Halichoeres nebulosus,,
